fecha_divisor;divisor
03/10/2022;13873751,739489
04/10/2022;13873227,56308
27/10/2022;13866971,690732
28/10/2022;13864815,601194
31/10/2022;13864307,971088
03/11/2022;13853125,504503
04/11/2022;13834351,612093
09/11/2022;13822951,08644
02/12/2022;13815659,561082
05/12/2022;13815213,668143
22/12/2022;13783711,921416
28/12/2022;13763000,540637
29/12/2022;13762774,33
02/01/2023;13681250,679845
05/01/2023;13654039,988902
14/04/2023;13641972,957268
17/04/2023;13630219,137358
02/05/2023;13519743,75834
03/05/2023;13490562,690711
04/05/2023;13464493,330007
05/05/2023;13362676,937949
08/05/2023;13360697,7386064
24/05/2023;13359218,216068
29/05/2023;13337485,801781
07/06/2023;13317650,872939
08/06/2023;13296284,027102
13/06/2023;13294975,575102
21/06/2023;13289295,04253
27/06/2023;13270941,665491
30/06/2023;13247700,9026588
06/07/2023;13229446,800013
12/07/2023;13228286,512241
14/07/2023;13222896,116594
26/07/2023;13205102,799842
02/08/2023;13199484,138085
04/08/2023;13181427,490853
14/08/2023;13180410,459359
28/08/2023;13163096,904776
01/09/2023;12935168,451878
04/09/2023;12931037,355393
07/09/2023;12918184,84203
12/09/2023;12917285,805815
26/09/2023;12901724,566065
29/09/2023;12897111,415332
06/10/2023;128971114,15332
10/10/2023;128683291,994806
11/10/2023;128676567,236846
26/10/2023;128630926,524469
08/11/2023;128170633,405047
01/12/2023;128143249,334926
07/12/2023;127808601,282488
22/12/2023;127701758,560696
28/12/2023;127700772,355505
02/01/2024;127157827,153783
09/01/2024;127112552,339863
15/04/2024;126943055,016533
25/04/2024;126860193,1
02/05/2024;125750574,98642
07/05/2024;125635915,437047
08/05/2024;125126236,401761
10/05/2024;125029385,92719
17/05/2024;124444309,523249
20/05/2024;124122020,433801
06/06/2024;123885441,186671
25/06/2024;122993343,176844
05/07/2024;122752282,766354
19/07/2024;121782797,884839
02/09/2024;119743146,256259
30/09/2024;119669138,327821
01/11/2024;119465078,468145
05/11/2024;119364217,11214
14/11/2024;119161987,749102
02/01/2025;121687521,651533
27/01/2025;121628905,026712
14/04/2025;121176856,439742
29/04/2025;121115030,247778
05/05/2025;122249319,785147
09/05/2025;122059524,35785
12/05/2025;122050651,193653
14/05/2025;121915190,468129
26/05/2025;121915190,4681290
5/06/2025;121629029,495075
25/06/2025;121615173,643488
27/06/2025;121563376,853131
07/07/2025;121491388,549775
25/07/2025;121489767,653661
28/07/2025;121476534,491624
29/07/2025;121428106,14164
07/08/2025;121365520,468192
13/08/2025;121365520,468192
25/08/2025;121363851,645631
26/08/2025;121349232,16666
27/08/2025;121295761,418238
01/09/2025;119260485,53988
03/09/2025;118974182,600335
05/09/2025;118876611,930095
22/09/2025;118692316,150797
24/09/2025;118689813,402614
25/09/2025;118672374,782494
26/09/2025;118592126,137658
07/10/2025;118480160,955497
27/10/2025;118477918,926681
28/10/2025;118464897,757153
29/10/2025;118410474,131223
04/11/2025;118280011,927398
07/11/2025;118210676,678017
11/11/2025;118167520,451862
18/11/2025;118160971,218588
20/11/2025;118159297,730197
25/11/2025;118147018,585771
26/11/2025;118094791,789708
05/12/2025;118014153,910125
17/12/2025;117494502,293591
22/12/2025;117453138,870826
23/12/2025;117440665,804482
29/12/2025;117391354,967588
30/12/2025;117384693,952512
02/01/2026;115794085,696472
09/01/2026;115726891,825553
26/01/2026;115725451,030921
27/01/2026;115715228,065288
28/01/2026;115675243,031693
06/02/2026;115603249,710583
23/02/2026;115601665,085562
24/02/2026;115589855,239648
25/02/2026;115542800,261021
05/03/2026;115458753,590387
25/03/2026;115457055,233174
26/03/2026;115445194,794971
27/03/2026;115396686,666209
07/04/2026;115256182,356534
10/04/2026;115181860,961174
15/04/2026;114808830,462795
