fecha_precio;valor
2020-02-03;56386,94
2020-02-04;55679,51
2020-02-05;55354,32
2020-02-06;55452,92
2020-02-07;55732,67
2020-02-10;55647,21
2020-02-11;54034,41
2020-02-12;54128,94
2020-02-13;52349,28
2020-02-14;52533,03
2020-02-17;53218,91
2020-02-18;51789,68
2020-02-19;52120,11
2020-02-20;52863,48
2020-02-21;52362,24
2020-02-26;49068,57
2020-02-27;47607,24
2020-02-28;46917,70
2020-03-02;48611,99
2020-03-03;48246,68
2020-03-04;49796,70
2020-03-05;49033,92
2020-03-06;46893,55
2020-03-09;39875,93
2020-03-10;43141,22
2020-03-11;41101,26
2020-03-12;36973,87
2020-03-13;37124,06
2020-03-16;33119,93
2020-03-17;33212,06
2020-03-18;28112,58
2020-03-19;29090,19
2020-03-20;30909,09
2020-03-25;34110,60
2020-03-26;32946,74
2020-03-27;31082,77
2020-03-30;31208,27
2020-04-01;32420,68
2020-04-02;33503,86
2020-04-03;34145,25
2020-04-06;34498,23
2020-04-07;34267,25
2020-04-08;36067,01
2020-04-13;37045,61
2020-04-14;39572,83
2020-04-15;41138,74
2020-04-16;38606,60
2020-04-17;38257,90
2020-04-20;39080,05
2020-04-21;38492,25
2020-04-22;38936,34
2020-04-23;38744,29
2020-04-24;37233,62
2020-04-27;38321,59
2020-04-28;42644,43
2020-04-29;42979,67
2020-04-30;42483,79
2020-05-04;41876,47
2020-05-05;43340,73
2020-05-06;44167,52
2020-05-07;46475,61
2020-05-08;47009,39
2020-05-11;50089,95
2020-05-12;51249,16
2020-05-13;49350,90
2020-05-14;51346,78
2020-05-15;51539,46
2020-05-18;52800,92
2020-05-19;51987,36
2020-05-20;52618,34
2020-05-21;54640,11
2020-05-22;54205,11
2020-05-26;54372,74
2020-05-27;53702,86
2020-05-28;51755,63
2020-05-29;49986,86
2020-06-01;52842,94
2020-06-02;55688,82
2020-06-03;58214,76
2020-06-04;57964,62
2020-06-05;59681,70
2020-06-08;64608,70
2020-06-09;61633,41
2020-06-10;61737,25
2020-06-11;56990,89
2020-06-12;57557,89
2020-06-16;56542,52
2020-06-17;53689,21
2020-06-18;50327,00
2020-06-19;54314,33
2020-06-22;53526,19
2020-06-23;54132,20
2020-06-24;53623,48
2020-06-25;55885,90
2020-06-26;53914,98
2020-06-29;53765,63
2020-06-30;51586,53
2020-07-01;53217,85
2020-07-02;52745,16
2020-07-03;53091,68
2020-07-06;58378,17
2020-07-07;57215,16
2020-07-08;57684,55
2020-07-13;58552,65
2020-07-14;59577,62
2020-07-15;61158,48
2020-07-16;61388,64
2020-07-17;61661,57
2020-07-20;61625,67
2020-07-21;63171,93
2020-07-22;65813,32
2020-07-23;65695,10
2020-07-24;65993,77
2020-07-27;67244,89
2020-07-28;66328,75
2020-07-29;66221,63
2020-07-30;66845,26
2020-07-31;66670,06
2020-08-03;71599,41
2020-08-04;71262,08
2020-08-05;69575,42
2020-08-06;69806,77
2020-08-07;71337,46
2020-08-10;70988,01
2020-08-11;69201,41
2020-08-12;66392,48
2020-08-13;67269,33
2020-08-14;65838,67
2020-08-18;63222,89
2020-08-19;64423,64
2020-08-20;64733,28
2020-08-21;64255,32
2020-08-24;63483,91
2020-08-25;63426,40
2020-08-26;62372,46
2020-08-27;60239,24
2020-08-28;63444,64
2020-08-31;64029,14
2020-09-01;63672,67
2020-09-02;61325,82
2020-09-03;61075,98
2020-09-04;61379,43
2020-09-07;62345,23
2020-09-08;62012,54
2020-09-09;63301,19
2020-09-10;63747,01
2020-09-11;62432,32
2020-09-14;60578,07
2020-09-15;60420,55
2020-09-16;56640,70
2020-09-17;53466,79
2020-09-18;55785,63
2020-09-21;54811,71
2020-09-22;54968,19
2020-09-23;54738,75
2020-09-24;56124,13
2020-09-25;56315,78
2020-09-28;56258,13
2020-09-29;56392,07
2020-09-30;55153,77
2020-10-01;57401,78
2020-10-02;58260,79
2020-10-05;58865,81
2020-10-06;58371,10
2020-10-07;58790,03
2020-10-08;60011,30
2020-10-09;60463,17
2020-10-13;60601,72
2020-10-14;62129,08
2020-10-15;63328,69
2020-10-16;64365,48
2020-10-19;64639,65
2020-10-20;65022,63
2020-10-21;65374,78
2020-10-22;67686,59
2020-10-23;68530,77
2020-10-26;64585,82
2020-10-27;61101,48
2020-10-28;56592,32
2020-10-29;58215,47
2020-10-30;57955,00
2020-11-02;61211,88
2020-11-03;62054,59
2020-11-04;60974,78
2020-11-05;63242,18
2020-11-06;63291,73
2020-11-09;65324,13
2020-11-10;68774,95
2020-11-11;68013,38
2020-11-12;65489,16
2020-11-13;66152,42
2020-11-16;67733,70
2020-11-17;68963,01
2020-11-18;68057,76
2020-11-19;67644,22
2020-11-20;68452,57
2020-11-24;72182,91
2020-11-25;71937,35
2020-11-26;72257,55
2020-11-27;73814,55
2020-11-30;72217,07
2020-12-01;72722,63
2020-12-02;73021,23
2020-12-03;72710,40
2020-12-04;72317,69
2020-12-09;68746,51
2020-12-10;71026,85
2020-12-11;70957,09
2020-12-14;70205,61
2020-12-15;70404,84
2020-12-16;70486,32
2020-12-17;70366,00
2020-12-18;69274,11
2020-12-21;66456,52
2020-12-22;66712,98
2020-12-23;68625,10
2020-12-28;67249,85
2020-12-29;68506,70
2020-12-30;68368,79
2021-01-04;67410,35
2021-01-05;68404,08
2021-01-06;68556,98
2021-01-07;69470,29
2021-01-08;68309,01
2021-01-11;67225,25
2021-01-12;67669,18
2021-01-13;67358,31
2021-01-14;67623,05
2021-01-15;66855,61
2021-01-18;66516,38
2021-01-19;66881,25
2021-01-20;66521,99
2021-01-21;64033,88
2021-01-22;64029,85
2021-01-25;62841,72
2021-01-26;65745,22
2021-01-27;66424,79
2021-01-28;66054,63
2021-01-29;64145,88
2021-02-01;65883,66
2021-02-02;65964,42
2021-02-03;66362,33
2021-02-04;67510,89
2021-02-05;68040,17
2021-02-08;69456,12
2021-02-09;69763,99
2021-02-10;69316,71
2021-02-11;68927,73
2021-02-12;68683,29
2021-02-17;70015,64
2021-02-18;69161,32
2021-02-19;67956,83
2021-02-22;65530,27
2021-02-23;63716,31
2021-02-24;66167,95
2021-02-25;65137,61
2021-02-26;64381,89
2021-03-01;65308,49
2021-03-02;64256,60
2021-03-03;63239,63
2021-03-04;63960,56
2021-03-05;63103,51
