date,value
06-05-2020,954812
07-05-2020,889233
08-05-2020,865225
11-05-2020,937807
12-05-2020,962828
13-05-2020,896494
14-05-2020,910992
15-05-2020,1070328
18-05-2020,820180
19-05-2020,601526
20-05-2020,553934
21-05-2020,554519
22-05-2020,536607
26-05-2020,570666
27-05-2020,526179
28-05-2020,585716
29-05-2020,663383
01-06-2020,938183
02-06-2020,741347
03-06-2020,723935
04-06-2020,687188
05-06-2020,646906
08-06-2020,614326
09-06-2020,614940
10-06-2020,624355
11-06-2020,590831
12-06-2020,584291
16-06-2020,604610
17-06-2020,594226
18-06-2020,596230
19-06-2020,584442
22-06-2020,684358
23-06-2020,602701
24-06-2020,606251
25-06-2020,598032
26-06-2020,618982
29-06-2020,640741
30-06-2020,589320
01-07-2020,775873
02-07-2020,783343
03-07-2020,761359
06-07-2020,757004
07-07-2020,759864
08-07-2020,629627
13-07-2020,708604
14-07-2020,690535
15-07-2020,640602
16-07-2020,622742
17-07-2020,578223
20-07-2020,616957
21-07-2020,635174
22-07-2020,643915
23-07-2020,644061
24-07-2020,623505
27-07-2020,618546
28-07-2020,637501
29-07-2020,645073
30-07-2020,733952
31-07-2020,772617
03-08-2020,846492
04-08-2020,833894
05-08-2020,789035
06-08-2020,730372
07-08-2020,671517
10-08-2020,714962
11-08-2020,675208
12-08-2020,692738
13-08-2020,632001
14-08-2020,599930
18-08-2020,613777
19-08-2020,598179
20-08-2020,610931
21-08-2020,592143
24-08-2020,598721
25-08-2020,614189
26-08-2020,603185
27-08-2020,617104
28-08-2020,660196
31-08-2020,620056
01-09-2020,691752
02-09-2020,742863
03-09-2020,711352
04-09-2020,709688
07-09-2020,633685
08-09-2020,624503
09-09-2020,609765
10-09-2020,599646
11-09-2020,604677
14-09-2020,660707
15-09-2020,613129
16-09-2020,615272
17-09-2020,643178
18-09-2020,610592
21-09-2020,675799
22-09-2020,642298
23-09-2020,608850
24-09-2020,627550
25-09-2020,583284
28-09-2020,640685
29-09-2020,619889
30-09-2020,716140
01-10-2020,904354
02-10-2020,718459
05-10-2020,747064
06-10-2020,761799
07-10-2020,691985
08-10-2020,657514
09-10-2020,599569
13-10-2020,638021
14-10-2020,601068
15-10-2020,609984
16-10-2020,586954
19-10-2020,597355
20-10-2020,570172
21-10-2020,573374
22-10-2020,567537
23-10-2020,594181
26-10-2020,629279
27-10-2020,555978
28-10-2020,588753
29-10-2020,562415
30-10-2020,540057
02-11-2020,653867
03-11-2020,648235
04-11-2020,643094
05-11-2020,662227
09-11-2020,750413
10-11-2020,724829
11-11-2020,682011
12-11-2020,730097
13-11-2020,653741
16-11-2020,674709
17-11-2020,667504
18-11-2020,668697
19-11-2020,613272
20-11-2020,612476
24-11-2020,630693
25-11-2020,605371
26-11-2020,614793
27-11-2020,635600
30-11-2020,522105
01-12-2020,640179
02-12-2020,665426
03-12-2020,643045
04-12-2020,643265
09-12-2020,752277
10-12-2020,742352
11-12-2020,694860
14-12-2020,638172
15-12-2020,590931
16-12-2020,573537
17-12-2020,621997
18-12-2020,645101
21-12-2020,636012
22-12-2020,644396
23-12-2020,544419
28-12-2020,658012
29-12-2020,683898
30-12-2020,572435
04-01-2021,729205
05-01-2021,724878
06-01-2021,767470
07-01-2021,795589
08-01-2021,688651
11-01-2021,713186
