date,ticker,quantity,close_comp,close_ohlcv,spot
2019-09-26,TGNO4,4.599613,187.0,41.7,72522.3
2019-09-26,TGSU2,19.309281,16.0,108.5,72522.3
2019-09-26,TRAN,11.020493,95.0,21.4,72522.3
2019-09-26,TS,6.053309,227.0,659.0,72522.3
2019-09-26,TXAR,92.34767,41.0,15.15,72522.3
2019-09-26,VALO,44.213712,216.0,6.03,72522.3
2019-09-26,YPFD,7.244635,212.0,58.075,72522.3
2019-09-27,ALUA,42.162978,97.0,21.6,74146.57
2019-09-27,APBR,19.56828,196.0,459.0,74146.57
2019-09-27,BBAR,10.726312,274.0,95.0,74146.57
2019-09-27,BMA,14.53874,51.0,163.0,74146.57
2019-09-27,BYMA,3.942242,107.0,2.2,74146.57
2019-09-27,CEPU,78.784841,63.0,18.55,74146.57
2019-09-27,COME,77.546461,6.0,1.61,74146.57
2019-09-27,CRES,15.698946,163.0,37.5,74146.57
2019-09-27,EDN,21.210622,104.0,22.5,74146.57
2019-09-27,GGAL,59.960931,267.0,82.0,74146.57
2019-09-27,PAMP,75.734838,190.0,42.4,74146.57
2019-09-27,SUPV,15.437015,168.0,40.0,74146.57
2019-09-27,TECO2,6.539619,29.0,121.0,74146.57
2019-09-27,TGNO4,4.599613,191.0,42.7,74146.57
2019-09-27,TGSU2,19.309281,17.0,109.5,74146.57
2019-09-27,TRAN,11.020493,97.0,21.6,74146.57
2019-09-27,TS,6.053309,229.0,662.0,74146.57
2019-09-27,TXAR,92.34767,42.0,15.3,74146.57
2019-09-27,VALO,44.213712,217.0,6.19,74146.57
2019-09-27,YPFD,7.244635,222.0,59.8,74146.57
2019-09-30,ALUA,61.063885,21.4,21.45,39073.41
2019-09-30,BBAR,15.534725,93.15,93.5,39073.41
2019-09-30,BMA,26.036217,165.95,166.0,39073.41
2019-09-30,BYMA,5.685271,223.0,2.23,39073.41
2019-09-30,CEPU,114.102676,18.9,18.95,39073.41
2019-09-30,COME,190.925484,1.61,1.6,39073.41
2019-09-30,CRES,23.051378,37.1,37.45,39073.41
2019-09-30,CVH,2.737311,174.0,176.5,39073.41
2019-09-30,EDN,30.603197,22.6,22.5,39073.41
2019-09-30,GGAL,86.840344,81.55,81.75,39073.41
2019-09-30,LOMA,8.761841,72.45,72.85,39073.41
2019-09-30,PAMP,104.627972,44.05,44.0,39073.41
2019-09-30,SUPV,22.357152,40.55,40.95,39073.41
2019-09-30,TECO2,7.375347,127.0,127.0,39073.41
2019-09-30,TGNO4,6.661534,45.35,45.5,39073.41
2019-09-30,TGSU2,21.126924,107.1,107.5,39073.41
2019-09-30,TRAN,15.960783,20.95,20.9,39073.41
2019-09-30,TXAR,133.745477,15.7,15.8,39073.41
2019-09-30,VALO,63.766175,6.38,6.4,39073.41
2019-09-30,YPFD,11.257409,592.45,59.4,39073.41
2019-10-01,ALUA,61.063885,22.25,22.25,40413.94
2019-10-01,BBAR,15.534725,95.6,95.5,40413.94
2019-10-01,BMA,26.036217,171.85,172.4,40413.94
2019-10-01,BYMA,5.685271,224.0,2.23,40413.94
2019-10-01,CEPU,114.102676,19.2,19.15,40413.94
2019-10-01,COME,190.925484,1.6,1.6,40413.94
2019-10-01,CRES,23.051378,38.0,38.0,40413.94
2019-10-01,CVH,2.737311,179.75,179.5,40413.94
2019-10-01,EDN,30.603197,22.7,22.7,40413.94
2019-10-01,GGAL,86.840344,84.25,84.3,40413.94
2019-10-01,LOMA,8.761841,76.0,76.0,40413.94
2019-10-01,PAMP,104.627972,46.15,45.9,40413.94
2019-10-01,SUPV,22.357152,41.45,40.9,40413.94
2019-10-01,TECO2,7.375347,131.6,131.75,40413.94
2019-10-01,TGNO4,6.661534,49.05,49.3,40413.94
2019-10-01,TGSU2,21.126924,111.45,112.0,40413.94
2019-10-01,TRAN,15.960783,21.6,21.8,40413.94
2019-10-01,TXAR,133.745477,15.9,16.1,40413.94
2019-10-01,VALO,63.766175,6.52,6.5,40413.94
2019-10-01,YPFD,11.257409,620.65,62.1,40413.94
2019-10-02,ALUA,61.063885,22.7,22.7,41388.15
2019-10-02,BBAR,15.534725,97.0,97.0,41388.15
2019-10-02,BMA,26.036217,177.0,176.0,41388.15
2019-10-02,BYMA,5.685271,226.5,2.26,41388.15
2019-10-02,CEPU,114.102676,19.65,19.7,41388.15
2019-10-02,COME,190.925484,1.58,1.6,41388.15
2019-10-02,CRES,23.051378,38.9,38.9,41388.15
2019-10-02,CVH,2.737311,181.0,181.0,41388.15
2019-10-02,EDN,30.603197,23.0,23.1,41388.15
2019-10-02,GGAL,86.840344,87.35,87.4,41388.15
2019-10-02,LOMA,8.761841,76.15,76.15,41388.15
2019-10-02,PAMP,104.627972,47.1,47.2,41388.15
2019-10-02,SUPV,22.357152,41.7,41.6,41388.15
2019-10-02,TECO2,7.375347,137.0,135.65,41388.15
