date,symbol,open,high,low,close,settlement,volume,open_interest,implied_rate
2025-06-06,RFX20062025,318900.0,325000.0,313000.0,322500.0,323200.0,8357.0,13092.0,28.4316
2025-06-09,RFX20062025,321500.0,323000.0,316500.0,316800.0,316800.0,7050.0,14695.0,-2.5678
2025-06-09,RFX20082025,335300.0,335900.0,335000.0,335000.0,335000.0,15.0,20.0,25.1838
2025-06-10,RFX20062025,318000.0,332000.0,318000.0,331600.0,331400.0,13967.0,13688.0,33.9928
2025-06-10,RFX20082025,350500.0,350500.0,349800.0,349800.0,349800.0,16.0,26.0,34.302
2025-06-11,RFX20062025,331800.0,333400.0,325000.0,328800.0,328800.0,9627.0,12758.0,44.025
2025-06-11,RFX20082025,349000.0,349000.0,344000.0,344700.0,348000.0,24.0,34.0,38.1862
2025-06-12,RFX20062025,329000.0,332500.0,327100.0,329400.0,329400.0,5140.0,13160.0,36.9124
2025-06-12,RFX20082025,350400.0,350400.0,350400.0,350400.0,348600.0,1.0,35.0,36.2905
2025-06-13,RFX20062025,325000.0,329000.0,318600.0,320200.0,320100.0,10402.0,14469.0,28.6438
2025-06-13,RFX20082025,345000.0,345000.0,339900.0,339900.0,339900.0,29.0,55.0,36.0363
2025-06-17,RFX20062025,320000.0,320000.0,311200.0,313700.0,314200.0,6164.0,15371.0,58.2914
2025-06-17,RFX20082025,337000.0,337000.0,331600.0,333400.0,332700.0,74.0,105.0,40.4317
2025-06-18,RFX20062025,314300.0,316000.0,309500.0,309700.0,309700.0,5897.0,15839.0,49.7115
2025-06-18,RFX20082025,334000.0,334000.0,325600.0,325600.0,325600.0,8.0,111.0,34.7371
2025-06-19,RFX20062025,309500.0,311800.0,308500.0,309300.0,309300.0,1506.0,15588.0,29.6806
2025-06-19,RFX20082025,325000.0,332900.0,325000.0,328000.0,328000.0,29.0,140.0,35.9575
2025-06-23,RFX20062025,304000.0,305900.0,294500.0,297300.0,297100.0,6475.0,15014.0,68.9257
2025-06-23,RFX20082025,322700.0,322700.0,310000.0,315500.0,314000.0,99.0,230.0,38.5994
2025-06-24,RFX20062025,300000.0,308000.0,299600.0,305500.0,305700.0,12127.0,13569.0,11.0568
2025-06-24,RFX20082025,324900.0,328500.0,320500.0,325200.0,325200.0,986.0,638.0,36.346
2025-06-25,RFX20062025,299600.0,303000.0,297600.0,300000.0,300800.0,4382.0,12949.0,51.7265
2025-06-25,RFX20082025,320000.0,325000.0,319600.0,319600.0,319600.0,893.0,422.0,39.3238
2025-06-26,RFX20062025,301800.0,305900.0,300000.0,302000.0,302000.0,4462.0,13294.0,32.899
2025-06-26,RFX20082025,322500.0,324200.0,319500.0,322300.0,322300.0,1468.0,969.0,40.53
2025-06-27,RFX20062025,300000.0,305800.0,299000.0,302500.0,303000.0,6410.0,12213.0,75.9678
2025-06-27,RFX20082025,320300.0,324100.0,318100.0,320900.0,321000.0,2342.0,798.0,38.2501
2025-06-30,RFX20062025,303000.0,304200.0,291500.0,293600.0,293698.0,9236.0,0.0,
2025-06-30,RFX20082025,328000.0,328100.0,311000.0,311100.0,311100.0,2800.0,1362.0,36.4997
2025-07-01,RFX20082025,309000.0,317100.0,309000.0,315900.0,315800.0,2283.0,1932.0,35.5216
2025-07-02,RFX20082025,316200.0,322000.0,311500.0,319000.0,318900.0,3039.0,2793.0,31.8971
2025-07-03,RFX20082025,321500.0,323000.0,320300.0,322400.0,322300.0,1540.0,3034.0,33.9371
2025-07-04,RFX20082025,323300.0,323300.0,320500.0,321500.0,321300.0,1934.0,3565.0,31.8843
2025-07-04,RFX20102025,335000.0,335000.0,335000.0,335000.0,335000.0,20.0,0.0,28.7226
2025-07-07,RFX20082025,315100.0,317000.0,311900.0,315000.0,316000.0,3289.0,3660.0,31.8611
2025-07-08,RFX20082025,316300.0,328400.0,314200.0,327700.0,327900.0,4682.0,3673.0,28.9974
2025-07-08,RFX20102025,334000.0,334000.0,334000.0,334000.0,337600.0,20.0,0.0,22.8889
2025-07-10,RFX20082025,319000.0,322700.0,315300.0,318300.0,318700.0,4665.0,5080.0,31.9434
2025-07-11,RFX20082025,315000.0,315000.0,306400.0,308000.0,308000.0,5049.0,6230.0,29.5392
2025-07-11,RFX20102025,326400.0,326400.0,326400.0,326400.0,322900.0,20.0,0.0,29.3142
2025-07-14,RFX20082025,307500.0,313500.0,301700.0,312700.0,312700.0,5352.0,6587.0,21.3361
2025-07-14,RFX20102025,323100.0,323100.0,323100.0,323100.0,323500.0,1.0,1.0,20.8807
2025-07-15,RFX20082025,312700.0,318100.0,310000.0,318000.0,318000.0,6067.0,6126.0,31.6722
2025-07-15,RFX20102025,325000.0,325000.0,324000.0,324000.0,329200.0,503.0,502.0,25.5647
2025-07-16,RFX20082025,317500.0,317500.0,304000.0,312000.0,311900.0,4853.0,6217.0,36.7089
2025-07-16,RFX20102025,328100.0,329100.0,328100.0,328500.0,323100.0,600.0,102.0,27.8866
2025-07-17,RFX20082025,314900.0,318200.0,312700.0,318000.0,318000.0,6841.0,7916.0,38.2304
2025-07-17,RFX20102025,325500.0,325600.0,325500.0,325600.0,328200.0,125.0,27.0,27.0509
2025-07-18,RFX20082025,322000.0,324500.0,316300.0,317500.0,317400.0,3712.0,8264.0,33.2206
2025-07-18,RFX20102025,334500.0,334500.0,330000.0,330000.0,330100.0,5.0,27.0,27.7291
2025-07-21,RFX20082025,319500.0,320800.0,316200.0,317100.0,317100.0,6201.0,9933.0,50.6307
2025-07-22,RFX20082025,314900.0,321000.0,309200.0,312300.0,312100.0,5186.0,10294.0,51.658
2025-07-23,RFX20082025,317700.0,321400.0,313500.0,320200.0,320200.0,5180.0,11500.0,39.3578
2025-07-24,RFX20082025,320900.0,327400.0,318500.0,326100.0,326200.0,3312.0,10746.0,34.6294
2025-07-24,RFX20102025,337300.0,338500.0,337300.0,338500.0,341200.0,2.0,28.0,30.1253
2025-07-25,RFX20082025,324000.0,335500.0,324000.0,335300.0,335100.0,8585.0,10125.0,33.48
2025-07-25,RFX20102025,348800.0,350000.0,348800.0,350000.0,350100.0,2.0,29.0,29.1642
2025-07-28,RFX20082025,335300.0,340200.0,334400.0,336500.0,336600.0,6560.0,10328.0,33.286
2025-07-29,RFX20082025,339200.0,356000.0,338600.0,356000.0,355100.0,13486.0,11879.0,50.3235
2025-07-30,RFX20082025,354000.0,355800.0,349000.0,352200.0,352300.0,8886.0,11662.0,40.6627
2025-07-31,RFX20082025,355000.0,357500.0,353200.0,355200.0,355100.0,5399.0,12324.0,43.1794
2025-07-31,RFX20102025,372000.0,372000.0,372000.0,372000.0,372000.0,401.0,29.0,33.1404
2025-08-01,RFX20082025,348600.0,350000.0,343500.0,346200.0,346800.0,3995.0,12370.0,35.1732
2025-08-04,RFX20082025,348800.0,353600.0,345100.0,345400.0,345400.0,2923.0,11970.0,29.0068
2025-08-05,RFX20082025,348000.0,354900.0,345200.0,354100.0,354200.0,6886.0,10090.0,27.1064
2025-08-05,RFX20102025,368100.0,368100.0,368000.0,368000.0,372800.0,2.0,30.0,29.9015
2025-08-06,RFX20082025,356500.0,365800.0,356500.0,363500.0,363800.0,6381.0,10944.0,25.5338
2025-08-06,RFX20102025,386200.0,386200.0,386200.0,386200.0,386200.0,1.0,31.0,33.3817
2025-08-07,RFX20082025,366000.0,366000.0,357700.0,358600.0,358800.0,10921.0,10244.0,50.4762
2025-08-08,RFX20082025,357500.0,357500.0,346000.0,350500.0,350500.0,10765.0,10526.0,52.2929
2025-08-08,RFX20102025,377200.0,377900.0,377200.0,377900.0,377500.0,2.0,31.0,47.5529
2025-08-11,RFX20082025,351500.0,353800.0,346000.0,349200.0,349100.0,7546.0,10723.0,51.9061
2025-08-12,RFX20082025,350100.0,356000.0,347200.0,349200.0,349600.0,7925.0,10340.0,51.7821
2025-08-12,RFX20102025,376700.0,376700.0,375900.0,375900.0,375900.0,26.0,33.0,46.1547
2025-08-13,RFX20082025,349500.0,353500.0,344100.0,346700.0,346700.0,8694.0,10597.0,57.2588
2025-08-14,RFX20082025,340100.0,341100.0,329400.0,331500.0,331500.0,12940.0,12895.0,60.147
2025-08-14,RFX20102025,353700.0,353700.0,353700.0,353700.0,353700.0,1.0,32.0,43.6791
2025-08-18,RFX20082025,328600.0,336900.0,326000.0,331000.0,331600.0,10900.0,13399.0,61.9838
2025-08-18,RFX20102025,360500.0,360500.0,360400.0,360400.0,353900.0,2.0,33.0,43.0039
2025-08-19,RFX20082025,330000.0,333600.0,315800.0,315900.0,315900.0,11752.0,14716.0,74.0807
2025-08-19,RFX20102025,358000.0,358000.0,349200.0,349200.0,338200.0,30.0,63.0,46.1604
2025-08-20,RFX20082025,315000.0,320500.0,310600.0,310600.0,311000.0,12143.0,15000.0,41.7683
2025-08-20,RFX20102025,342800.0,343200.0,342800.0,343200.0,335000.0,6.0,63.0,44.7451
2025-08-21,RFX20082025,310200.0,319600.0,310200.0,316000.0,315900.0,8179.0,14282.0,63.9454
2025-08-21,RFX20102025,340700.0,348800.0,340700.0,347000.0,341000.0,7.0,61.0,48.6245
2025-08-22,RFX20082025,317300.0,323000.0,313800.0,315600.0,315600.0,8169.0,15072.0,56.8861
2025-08-22,RFX20102025,345200.0,345200.0,345000.0,345000.0,345000.0,8.0,69.0,54.7927
2025-08-25,RFX20082025,312400.0,312400.0,299100.0,301900.0,301300.0,10618.0,15071.0,55.5483
2025-08-25,RFX20102025,334000.0,335500.0,334000.0,335200.0,335200.0,765.0,834.0,64.9835
2025-08-26,RFX20082025,301900.0,308100.0,298300.0,304100.0,304100.0,8867.0,13980.0,90.8199
2025-08-26,RFX20102025,332000.0,341700.0,332000.0,337500.0,337500.0,873.0,181.0,65.3222
2025-08-27,RFX20082025,300000.0,302500.0,296000.0,297700.0,298000.0,14666.0,13809.0,283.5648
2025-08-27,RFX20102025,332400.0,332400.0,325600.0,325700.0,325700.0,1309.0,1055.0,61.7328
2025-08-28,RFX20082025,301000.0,306000.0,299500.0,299700.0,299600.0,6912.0,13559.0,377.1688
2025-08-28,RFX20102025,332000.0,335000.0,328800.0,330000.0,329500.0,2424.0,1112.0,63.3984
2025-08-29,RFX20082025,299000.0,299000.0,292200.0,294400.0,294776.0,8827.0,0.0,
2025-08-29,RFX20102025,328600.0,329900.0,322100.0,324500.0,324300.0,1781.0,1790.0,58.5799
2025-09-01,RFX20102025,321600.0,325400.0,313000.0,315000.0,314500.0,1967.0,2314.0,55.7791
2025-09-02,RFX20102025,314600.0,323100.0,305700.0,322800.0,322700.0,10121.0,5419.0,59.9211
2025-09-03,RFX20102025,320100.0,325200.0,313100.0,317600.0,316800.0,10921.0,7961.0,62.5174
2025-09-04,RFX20102025,323100.0,326000.0,315300.0,325000.0,325000.0,10531.0,9655.0,59.023
2025-09-05,RFX20102025,324300.0,331600.0,316600.0,327500.0,327400.0,7408.0,10887.0,62.2538
2025-09-08,RFX20102025,322000.0,322000.0,281000.0,282300.0,282300.0,6917.0,11519.0,68.4043
2025-09-09,RFX20102025,286000.0,290000.0,273000.0,274800.0,274800.0,10721.0,12628.0,50.0861
2025-09-10,RFX20102025,279500.0,292300.0,279500.0,290300.0,290100.0,7600.0,12790.0,48.587
2025-09-11,RFX20102025,289100.0,295100.0,280600.0,283700.0,283700.0,10516.0,12826.0,41.1056
2025-09-12,RFX20102025,283100.0,285000.0,270300.0,275900.0,275500.0,8269.0,13266.0,38.3905
2025-09-15,RFX20102025,276000.0,279700.0,270000.0,274800.0,275200.0,9207.0,13208.0,46.6128
2025-09-16,RFX20102025,283000.0,288600.0,275600.0,277800.0,277900.0,7889.0,13639.0,35.7519
2025-09-17,RFX20102025,277900.0,281800.0,273500.0,274000.0,273900.0,8918.0,13738.0,27.8051
2025-09-18,RFX20102025,272900.0,272900.0,254700.0,258800.0,258400.0,19166.0,13323.0,23.7026
2025-09-19,RFX20102025,260500.0,267800.0,251100.0,262100.0,262400.0,27964.0,15496.0,48.0405
2025-09-19,RFX20122025,285700.0,285700.0,285700.0,285700.0,285700.0,10.0,10.0,53.3128
2025-09-22,RFX20102025,263100.0,284000.0,263100.0,281900.0,281800.0,10233.0,15011.0,48.5469
2025-09-22,RFX20122025,300000.0,300000.0,300000.0,300000.0,300000.0,20.0,20.0,44.1713
2025-09-23,RFX20102025,284200.0,287000.0,270500.0,283500.0,283500.0,19364.0,14380.0,55.2176
2025-09-23,RFX20122025,299500.0,301000.0,299500.0,301000.0,301000.0,2.0,22.0,45.7232
2025-09-24,RFX20102025,293500.0,298100.0,284000.0,286000.0,286100.0,21934.0,23164.0,52.5892
2025-09-24,RFX20122025,318000.0,319600.0,307000.0,307000.0,307000.0,43.0,54.0,49.0136
2025-09-25,RFX20102025,284000.0,284000.0,270000.0,270000.0,270000.0,14799.0,23112.0,37.4072
2025-09-25,RFX20122025,298400.0,298400.0,287900.0,287900.0,287900.0,16.0,49.0,40.1641
2025-09-26,RFX20102025,267500.0,279000.0,267500.0,278000.0,278300.0,18475.0,24489.0,61.0719
2025-09-29,RFX20102025,280000.0,280800.0,271900.0,274700.0,274600.0,12165.0,24615.0,50.7601
2025-09-29,RFX20122025,289000.0,289000.0,289000.0,289000.0,289000.0,10.0,49.0,39.3865
2025-09-30,RFX20102025,273000.0,273100.0,266600.0,269400.0,269000.0,8300.0,24050.0,41.63
2025-10-01,RFX20102025,269000.0,275000.0,265200.0,266600.0,266600.0,3406.0,24195.0,39.9862
2025-10-01,RFX20122025,286500.0,286500.0,286500.0,286500.0,286500.0,10.0,54.0,44.5958
2025-10-02,RFX20102025,266000.0,275200.0,263100.0,274100.0,274300.0,7687.0,25454.0,47.549
2025-10-02,RFX20122025,302800.0,302900.0,302400.0,302400.0,302200.0,16.0,69.0,58.7833
2025-10-03,RFX20102025,275000.0,277000.0,268900.0,275500.0,275100.0,5902.0,26517.0,55.2597
2025-10-03,RFX20122025,304400.0,304400.0,299800.0,301300.0,301300.0,40.0,104.0,58.7593
2025-10-06,RFX20102025,273100.0,278000.0,269100.0,276500.0,276500.0,6339.0,27312.0,68.0894
2025-10-06,RFX20122025,299500.0,303200.0,299500.0,302000.0,302000.0,30.0,134.0,61.4754
2025-10-07,RFX20102025,275700.0,276900.0,271900.0,274900.0,275000.0,7142.0,27479.0,68.0829
2025-10-07,RFX20122025,299000.0,299000.0,292300.0,292300.0,292300.0,4.0,137.0,48.0115
2025-10-08,RFX20102025,274200.0,277400.0,270500.0,277400.0,277400.0,6865.0,27279.0,63.7774
2025-10-08,RFX20122025,298800.0,304000.0,298800.0,304000.0,304000.0,4.0,139.0,61.5366
2025-10-09,RFX20102025,277000.0,295900.0,277000.0,291500.0,292900.0,19777.0,29493.0,63.4087
2025-10-09,RFX20122025,301500.0,325900.0,301500.0,325900.0,325900.0,177.0,312.0,69.0791
2025-10-13,RFX20102025,283500.0,304000.0,282000.0,299400.0,299500.0,11376.0,31236.0,85.3388
2025-10-13,RFX20122025,314500.0,328700.0,310000.0,319200.0,328700.0,471.0,771.0,67.2367
2025-10-14,RFX20102025,297900.0,307900.0,285900.0,290200.0,290400.0,17795.0,30455.0,108.9183
2025-10-14,RFX20122025,334600.0,334600.0,325200.0,325200.0,325200.0,462.0,329.0,83.7333
2025-10-15,RFX20102025,298900.0,302700.0,287100.0,298400.0,297700.0,12059.0,32284.0,142.0324
2025-10-15,RFX20122025,325000.0,327900.0,320000.0,327900.0,325000.0,32.0,360.0,76.6852
2025-10-16,RFX20102025,300000.0,300600.0,294000.0,297700.0,297600.0,6722.0,32691.0,128.8477
2025-10-16,RFX20122025,321600.0,321900.0,321600.0,321900.0,323500.0,20.0,380.0,70.3666
2025-10-17,RFX20102025,297300.0,300800.0,294900.0,300000.0,299800.0,4786.0,32453.0,77.7615
2025-10-20,RFX20102025,300000.0,306000.0,295800.0,297800.0,297800.0,8713.0,32200.0,99.8995
2025-10-20,RFX20122025,325000.0,325000.0,325000.0,325000.0,323700.0,2.0,378.0,61.534
2025-10-21,RFX20102025,298900.0,309200.0,292500.0,301900.0,301600.0,15896.0,32724.0,107.8143
2025-10-21,RFX20122025,324000.0,328000.0,323900.0,328000.0,327500.0,540.0,908.0,61.5025
2025-10-22,RFX20102025,299100.0,306400.0,295000.0,305200.0,305100.0,16058.0,35391.0,124.8919
2025-10-22,RFX20122025,330000.0,334700.0,325000.0,331600.0,331600.0,539.0,908.0,63.6511
2025-10-23,RFX20102025,306900.0,319400.0,306900.0,314400.0,314100.0,12447.0,34296.0,182.2973
2025-10-23,RFX20122025,338200.0,346900.0,338200.0,339000.0,339000.0,32.0,934.0,65.6985
2025-10-24,RFX20102025,319400.0,319400.0,310600.0,313900.0,313800.0,10683.0,33696.0,142.0797
2025-10-24,RFX20122025,334000.0,344800.0,334000.0,339100.0,339100.0,589.0,519.0,59.9633
2025-10-27,RFX20102025,314000.0,400000.0,314000.0,375600.0,375700.0,16125.0,30978.0,107.6631
2025-10-27,RFX20122025,352100.0,419400.0,352100.0,415000.0,415100.0,289.0,737.0,67.2438
2025-10-28,RFX20102025,375700.0,403000.0,372600.0,392900.0,393000.0,18635.0,29263.0,33.3389
2025-10-28,RFX20122025,425800.0,450000.0,415100.0,436000.0,436000.0,426.0,1124.0,65.1524
2025-10-29,RFX20102025,392000.0,416700.0,392000.0,414500.0,414300.0,27465.0,23239.0,199.7431
2025-10-29,RFX20122025,444000.0,457200.0,444000.0,452000.0,452000.0,5841.0,6669.0,60.6004
2025-10-30,RFX20102025,411500.0,416900.0,406000.0,411500.0,411600.0,26390.0,14053.0,236.1808
2025-10-30,RFX20122025,452000.0,455000.0,444000.0,449000.0,449000.0,13173.0,17174.0,58.5936
2025-10-31,RFX20102025,417300.0,446200.0,413100.0,440400.0,440275.0,18072.0,0.0,
2025-10-31,RFX20122025,452200.0,469000.0,452000.0,466300.0,466200.0,1933.0,17692.0,36.9011
2025-11-03,RFX20122025,482400.0,486500.0,469000.0,479900.0,479600.0,7441.0,19748.0,35.9535
2025-11-04,RFX20122025,470000.0,484000.0,463500.0,481500.0,481500.0,12204.0,21053.0,45.5524
2025-11-05,RFX20122025,482100.0,492500.0,465000.0,468200.0,468400.0,9179.0,21474.0,34.3132
2025-11-06,RFX20122025,470200.0,470500.0,452200.0,458000.0,458100.0,5186.0,22039.0,35.1365
2025-11-07,RFX20122025,450100.0,454300.0,439000.0,446800.0,446900.0,18964.0,15187.0,44.6185
2025-11-10,RFX20122025,451000.0,460000.0,443500.0,456300.0,456400.0,11525.0,16987.0,41.6091
2025-11-11,RFX20122025,458000.0,460100.0,452600.0,453700.0,453800.0,6857.0,17109.0,36.4672
2025-11-12,RFX20122025,451300.0,459900.0,451200.0,456300.0,456200.0,5012.0,16916.0,35.0331
2025-11-13,RFX20122025,457000.0,457000.0,433800.0,435000.0,435000.0,10098.0,16462.0,25.2697
2025-11-14,RFX20122025,432600.0,453500.0,428100.0,449900.0,449900.0,9808.0,16639.0,22.9606
2025-11-17,RFX20122025,449000.0,451000.0,439500.0,440800.0,440800.0,5815.0,17095.0,27.3466
2025-11-18,RFX20122025,439700.0,446000.0,427000.0,445600.0,445600.0,8542.0,16793.0,35.2281
2025-11-19,RFX20122025,446000.0,451900.0,437000.0,439500.0,439500.0,6299.0,17333.0,43.9094
2025-11-20,RFX20122025,440600.0,447300.0,426100.0,433000.0,433000.0,7967.0,17646.0,36.7373
2025-11-25,RFX20122025,430000.0,435900.0,415100.0,435800.0,435700.0,15619.0,18087.0,44.1843
2025-11-26,RFX20022026,456100.0,456100.0,456100.0,456100.0,460100.0,1.0,1.0,22.8169
2025-11-26,RFX20122025,437500.0,449400.0,432000.0,449300.0,449200.0,17614.0,18618.0,35.5
2025-11-27,RFX20022026,468500.0,468500.0,468500.0,468500.0,468500.0,200.0,201.0,26.4336
2025-11-27,RFX20122025,449700.0,453000.0,448500.0,453000.0,452800.0,24008.0,18494.0,34.1588
2025-11-28,RFX20022026,472400.0,472400.0,472300.0,472300.0,472300.0,200.0,1.0,29.5289
2025-11-28,RFX20122025,453000.0,460500.0,452800.0,453300.0,453300.0,5863.0,18436.0,34.709
2025-12-01,RFX20022026,469600.0,469600.0,469600.0,469600.0,473400.0,10.0,11.0,27.4218
2025-12-01,RFX20122025,450000.0,456800.0,448700.0,453300.0,453700.0,8078.0,18440.0,27.3721
2025-12-02,RFX20122025,455700.0,460000.0,452100.0,453100.0,453200.0,8722.0,18462.0,35.1327
2025-12-03,RFX20022026,483200.0,483200.0,483200.0,483200.0,487800.0,1.0,12.0,32.1575
2025-12-03,RFX20122025,451200.0,468500.0,451200.0,468300.0,468100.0,11670.0,19455.0,43.6959
2025-12-04,RFX20122025,468900.0,474000.0,461300.0,461300.0,461500.0,8217.0,20404.0,40.469
2025-12-05,RFX20122025,470000.0,471500.0,453300.0,453300.0,453500.0,13061.0,21654.0,40.9709
